num, accuracy, explore
0, 0.017, 100000
1, 0.025, 100000
2, 0.057, 100000
3, 0.191, 100000
4, 0.202, 100000
0, 0.011, 100000
1, 0.025, 100000
2, 0.112, 100000
3, 0.13, 100000
4, 0.074, 100000
5, 0.378, 100000
6, 0.216, 100000
7, 0.362, 100000
8, 0.141, 100000
9, 0.498, 100000
10, 0.531, 100000
11, 0.483, 100000
12, 0.49, 100000
13, 0.393, 100000
