timestep, accuracy, iterations
307, 0.73, 10000
308, 0.738, 10000
309, 0.721, 10000
310, 0.724, 10000
311, 0.716, 10000
312, 0.711, 10000
313, 0.738, 10000
314, 0.737, 10000
315, 0.725, 10000
316, 0.745, 10000
317, 0.723, 10000
318, 0.742, 10000
319, 0.712, 10000
320, 0.743, 10000
321, 0.718, 10000
322, 0.719, 10000
323, 0.737, 10000
324, 0.743, 10000
325, 0.744, 10000
326, 0.741, 10000
327, 0.729, 10000
328, 0.717, 10000
329, 0.738, 10000
330, 0.733, 10000
331, 0.705, 10000
332, 0.739, 10000
333, 0.716, 10000
334, 0.741, 10000
335, 0.741, 10000
336, 0.734, 10000
337, 0.704, 10000
338, 0.715, 10000
339, 0.73, 10000
340, 0.731, 10000
341, 0.71, 10000
342, 0.735, 10000
343, 0.746, 10000
344, 0.749, 10000
345, 0.759, 10000
346, 0.711, 10000
347, 0.714, 10000
348, 0.714, 10000
349, 0.728, 10000
350, 0.714, 10000
351, 0.729, 10000
352, 0.732, 10000
353, 0.736, 10000
354, 0.72, 10000
355, 0.733, 10000
356, 0.74, 10000
357, 0.753, 10000
358, 0.739, 10000
359, 0.725, 10000
360, 0.695, 10000
361, 0.739, 10000
362, 0.728, 10000
363, 0.731, 10000
364, 0.737, 10000
365, 0.755, 10000
366, 0.729, 10000
367, 0.735, 10000
368, 0.755, 10000
369, 0.726, 10000
370, 0.702, 10000
371, 0.723, 10000
372, 0.713, 10000
373, 0.713, 10000
374, 0.732, 10000
375, 0.716, 10000
376, 0.724, 10000
377, 0.727, 10000
378, 0.728, 10000
379, 0.738, 10000
380, 0.757, 10000
381, 0.728, 10000
382, 0.736, 10000
383, 0.723, 10000
384, 0.747, 10000
385, 0.737, 10000
386, 0.711, 10000
387, 0.724, 10000
388, 0.711, 10000
389, 0.728, 10000
390, 0.722, 10000
391, 0.729, 10000
392, 0.74, 10000
393, 0.699, 10000
394, 0.73, 10000
395, 0.731, 10000
396, 0.761, 10000
397, 0.727, 10000
398, 0.74, 10000
399, 0.741, 10000
400, 0.728, 100000
401, 0.729, 100000
402, 0.73, 100000
403, 0.74, 100000
404, 0.723, 100000
405, 0.716, 100000
406, 0.725, 100000
407, 0.711, 100000
408, 0.748, 100000
409, 0.738, 100000
410, 0.737, 100000
411, 0.729, 100000
412, 0.709, 100000
413, 0.728, 100000
414, 0.734, 100000
415, 0.758, 100000
416, 0.718, 100000
417, 0.745, 100000
418, 0.718, 100000
419, 0.722, 100000
420, 0.724, 100000
421, 0.742, 100000
422, 0.739, 100000
423, 0.725, 100000
424, 0.74, 100000
425, 0.723, 100000
426, 0.73, 100000
427, 0.75, 100000
428, 0.745, 100000
429, 0.709, 100000
430, 0.724, 100000
431, 0.729, 100000
432, 0.741, 100000
433, 0.751, 100000
434, 0.716, 100000
435, 0.738, 100000
436, 0.723, 100000
437, 0.72, 100000
438, 0.744, 100000
439, 0.736, 100000
440, 0.713, 100000
441, 0.746, 100000
