timestep, accuracy, iterations
307, 0.44, 10000
308, 0.457, 10000
309, 0.466, 10000
310, 0.42, 10000
311, 0.445, 10000
312, 0.447, 10000
313, 0.418, 10000
314, 0.429, 10000
315, 0.444, 10000
316, 0.449, 10000
317, 0.45, 10000
318, 0.451, 10000
319, 0.446, 10000
320, 0.475, 10000
321, 0.437, 10000
322, 0.472, 10000
323, 0.449, 10000
324, 0.425, 10000
325, 0.434, 10000
326, 0.463, 10000
327, 0.426, 10000
328, 0.457, 10000
329, 0.45, 10000
330, 0.441, 10000
331, 0.439, 10000
332, 0.457, 10000
333, 0.458, 10000
334, 0.43, 10000
335, 0.446, 10000
336, 0.409, 10000
337, 0.453, 10000
338, 0.431, 10000
339, 0.442, 10000
340, 0.431, 10000
341, 0.46, 10000
342, 0.422, 10000
343, 0.467, 10000
344, 0.435, 10000
345, 0.45, 10000
346, 0.444, 10000
347, 0.451, 10000
348, 0.456, 10000
349, 0.412, 10000
350, 0.436, 10000
351, 0.466, 10000
352, 0.433, 10000
353, 0.438, 10000
354, 0.453, 10000
355, 0.44, 10000
356, 0.446, 10000
357, 0.441, 10000
358, 0.42, 10000
359, 0.461, 10000
360, 0.448, 10000
361, 0.445, 10000
362, 0.422, 10000
363, 0.445, 10000
364, 0.448, 10000
365, 0.43, 10000
366, 0.434, 10000
367, 0.449, 10000
368, 0.425, 10000
369, 0.44, 10000
370, 0.44, 10000
371, 0.443, 10000
372, 0.425, 10000
373, 0.455, 10000
374, 0.476, 10000
375, 0.46, 10000
376, 0.46, 10000
377, 0.465, 10000
378, 0.45, 10000
379, 0.431, 10000
380, 0.451, 10000
381, 0.449, 10000
382, 0.441, 10000
383, 0.438, 10000
384, 0.462, 10000
385, 0.433, 10000
386, 0.458, 10000
387, 0.464, 10000
388, 0.479, 10000
389, 0.453, 10000
390, 0.464, 10000
391, 0.453, 10000
392, 0.453, 10000
393, 0.441, 10000
394, 0.445, 10000
395, 0.455, 10000
396, 0.459, 10000
397, 0.425, 10000
398, 0.444, 10000
399, 0.45, 10000
400, 0.451, 100000
401, 0.478, 100000
402, 0.46, 100000
403, 0.429, 100000
404, 0.483, 100000
405, 0.455, 100000
406, 0.44, 100000
407, 0.451, 100000
408, 0.445, 100000
409, 0.473, 100000
410, 0.443, 100000
411, 0.441, 100000
412, 0.462, 100000
413, 0.432, 100000
414, 0.463, 100000
415, 0.451, 100000
416, 0.463, 100000
417, 0.449, 100000
418, 0.464, 100000
419, 0.443, 100000
420, 0.428, 100000
421, 0.457, 100000
422, 0.453, 100000
423, 0.467, 100000
424, 0.436, 100000
425, 0.435, 100000
426, 0.426, 100000
427, 0.427, 100000
428, 0.405, 100000
429, 0.451, 100000
430, 0.45, 100000
431, 0.471, 100000
432, 0.454, 100000
433, 0.466, 100000
434, 0.44, 100000
435, 0.486, 100000
436, 0.46, 100000
437, 0.456, 100000
438, 0.438, 100000
439, 0.431, 100000
440, 0.475, 100000
441, 0.465, 100000
442, 0.448, 100000
443, 0.463, 100000
444, 0.452, 100000
445, 0.42, 100000
446, 0.44, 100000
447, 0.454, 100000
448, 0.454, 100000
449, 0.435, 100000
450, 0.453, 100000
451, 0.463, 100000
452, 0.455, 100000
453, 0.461, 100000
454, 0.455, 100000
455, 0.435, 100000
456, 0.439, 100000
457, 0.417, 100000
458, 0.439, 100000
459, 0.449, 100000
460, 0.465, 100000
461, 0.441, 100000
462, 0.437, 100000
463, 0.443, 100000
464, 0.454, 100000
465, 0.452, 100000
466, 0.444, 100000
467, 0.467, 100000
468, 0.463, 100000
469, 0.447, 100000
470, 0.471, 100000
471, 0.453, 100000
472, 0.448, 100000
473, 0.478, 100000
474, 0.449, 100000
475, 0.445, 100000
476, 0.479, 100000
477, 0.457, 100000
478, 0.481, 100000
479, 0.452, 100000
480, 0.441, 100000
481, 0.445, 100000
482, 0.442, 100000
483, 0.453, 100000
484, 0.455, 100000
485, 0.446, 100000
486, 0.414, 100000
487, 0.432, 100000
488, 0.466, 100000
489, 0.421, 100000
490, 0.438, 100000
491, 0.447, 100000
492, 0.456, 100000
493, 0.446, 100000
494, 0.435, 100000
495, 0.45, 100000
496, 0.451, 100000
497, 0.456, 100000
498, 0.466, 100000
499, 0.435, 100000
500, 0.42, 1000000
501, 0.44, 1000000
502, 0.449, 1000000
503, 0.45, 1000000
504, 0.446, 1000000
505, 0.438, 1000000
506, 0.438, 1000000
507, 0.435, 1000000
508, 0.458, 1000000
509, 0.46, 1000000
510, 0.478, 1000000
511, 0.46, 1000000
512, 0.437, 1000000
513, 0.436, 1000000
514, 0.45, 1000000
515, 0.419, 1000000
516, 0.451, 1000000
517, 0.431, 1000000
518, 0.43, 1000000
519, 0.43, 1000000
520, 0.458, 1000000
521, 0.426, 1000000
522, 0.428, 1000000
523, 0.438, 1000000
524, 0.44, 1000000
525, 0.46, 1000000
526, 0.465, 1000000
527, 0.44, 1000000
528, 0.451, 1000000
529, 0.454, 1000000
530, 0.497, 1000000
531, 0.444, 1000000
532, 0.437, 1000000
533, 0.453, 1000000
534, 0.444, 1000000
535, 0.472, 1000000
536, 0.436, 1000000
537, 0.438, 1000000
538, 0.418, 1000000
539, 0.477, 1000000
540, 0.444, 1000000
541, 0.437, 1000000
542, 0.47, 1000000
543, 0.45, 1000000
544, 0.46, 1000000
545, 0.452, 1000000
546, 0.44, 1000000
547, 0.415, 1000000
548, 0.449, 1000000
549, 0.428, 1000000
550, 0.43, 1000000
551, 0.439, 1000000
552, 0.459, 1000000
553, 0.449, 1000000
554, 0.446, 1000000
555, 0.432, 1000000
556, 0.439, 1000000
557, 0.433, 1000000
558, 0.444, 1000000
559, 0.447, 1000000
560, 0.426, 1000000
561, 0.46, 1000000
562, 0.45, 1000000
563, 0.452, 1000000
564, 0.451, 1000000
565, 0.439, 1000000
566, 0.452, 1000000
567, 0.424, 1000000
