[2017-04-18 21:09:13,067] Making new env: FrozenLake-v0
accuracy, i_max_iter, i_k
0.43, 10, 10
0.455, 10, 10
0.447, 10, 10
0.749, 10, 100
0.759, 10, 100
0.75, 10, 100
0.743, 10, 100
0.725, 10, 100
0.752, 10, 100
0.734, 10, 100
0.727, 10, 100
0.734, 10, 100
0.745, 10, 100
0.739, 10, 1000
0.728, 10, 1000
0.746, 10, 1000
0.747, 10, 1000
0.721, 10, 1000
0.75, 10, 1000
0.739, 10, 1000
0.746, 10, 1000
0.75, 10, 1000
0.756, 10, 1000
0.714, 10, 10000
0.733, 10, 10000
0.733, 10, 10000
0.758, 10, 10000
0.737, 10, 10000
0.745, 10, 10000
0.764, 10, 10000
0.761, 10, 10000
0.738, 10, 10000
0.759, 10, 10000
0.73, 10, 100000
0.735, 10, 100000
0.73, 10, 100000
0.748, 10, 100000
0.731, 10, 100000
0.736, 10, 100000
0.727, 10, 100000
0.74, 10, 100000
0.729, 10, 100000
0.735, 10, 100000
0.753, 10, 1000000
0.76, 10, 1000000
0.726, 10, 1000000
0.721, 10, 1000000
0.735, 10, 1000000
0.743, 10, 1000000
0.718, 10, 1000000
0.757, 10, 1000000
0.736, 10, 1000000
0.77, 10, 1000000
0.757, 10, 10000000
0.731, 10, 10000000
0.751, 10, 10000000
0.736, 10, 10000000
0.753, 10, 10000000
0.752, 10, 10000000
0.727, 10, 10000000
0.729, 10, 10000000
0.762, 10, 10000000
0.747, 10, 10000000
0.436, 10, 10
0.41, 10, 10
0.449, 10, 10
0.472, 10, 10
0.421, 10, 10
0.445, 10, 10
0.428, 10, 10
0.458, 10, 10
0.424, 10, 10
0.447, 10, 10
0.726, 10, 100
0.749, 10, 100
0.725, 10, 100
0.743, 10, 100
0.726, 10, 100
0.719, 10, 100
0.735, 10, 100
0.747, 10, 100
0.772, 10, 100
0.748, 10, 100
0.758, 10, 1000
0.74, 10, 1000
0.733, 10, 1000
0.721, 10, 1000
0.746, 10, 1000
0.733, 10, 1000
0.743, 10, 1000
0.711, 10, 1000
0.76, 10, 1000
0.761, 10, 1000
0.738, 10, 10000
0.759, 10, 10000
0.742, 10, 10000
0.741, 10, 10000
0.746, 10, 10000
0.726, 10, 10000
0.738, 10, 10000
0.742, 10, 10000
0.717, 10, 10000
0.744, 10, 10000
0.722, 10, 100000
0.753, 10, 100000
0.747, 10, 100000
0.743, 10, 100000
0.732, 10, 100000
0.731, 10, 100000
0.723, 10, 100000
0.743, 10, 100000
0.744, 10, 100000
0.747, 10, 100000
0.726, 10, 1000000
0.724, 10, 1000000
0.719, 10, 1000000
0.727, 10, 1000000
0.757, 10, 1000000
0.744, 10, 1000000
0.742, 10, 1000000
0.719, 10, 1000000
0.743, 10, 1000000
0.719, 10, 1000000
0.726, 10, 10000000
0.753, 10, 10000000
0.746, 10, 10000000
0.765, 10, 10000000
0.753, 10, 10000000
0.744, 10, 10000000
0.735, 10, 10000000
0.733, 10, 10000000
0.727, 10, 10000000
0.72, 10, 10000000
0.438, 10, 10
0.464, 10, 10
0.426, 10, 10
0.45, 10, 10
0.455, 10, 10
0.481, 10, 10
0.433, 10, 10
0.443, 10, 10
0.42, 10, 10
0.447, 10, 10
