
Randomized Hill Climbing
---------------------------------
RHC: avg, best
0.21820471914292194,0.276604580389965
SA: temp, cool, avg, best
1.0E10,0.8,0.21241982293758904,0.25338772676227184
1.0E10,0.85,0.2155905550151397,0.24727762463608913
1.0E10,0.9,0.21853319192821943,0.26249244701083385
1.0E10,0.95,0.21754764380477937,0.2683822317275331
1.0E11,0.8,0.2157120569087715,0.25640672813863846
1.0E11,0.85,0.21613796229952384,0.2503051449768139
1.0E11,0.9,0.2192436310029208,0.25670189266037075
1.0E11,0.95,0.21927605491569524,0.2745571934274008
1.0E12,0.8,0.22144042133454836,0.27706938302266954
1.0E12,0.85,0.2158908353833455,0.2582252348326152
1.0E12,0.9,0.2151188712932911,0.24118560045293527
1.0E12,0.95,0.2157156993821761,0.27501513502632324
1.0E13,0.8,0.2179089577553385,0.2537918612588808
1.0E13,0.85,0.21860137174028293,0.26309822837705094
1.0E13,0.9,0.2134013475611714,0.25205297300269036
1.0E13,0.95,0.21588122776990915,0.26546974713536636
1.0E14,0.8,0.22110030586020138,0.2712787427174744
1.0E14,0.85,0.21420417937142214,0.2517277385177151
1.0E14,0.9,0.2156928204866327,0.2717258042690527
1.0E14,0.95,0.2199669145313404,0.2629241340611354

Genetic Algorithm
---------------------------------
MA,MU,avg,best
10,3,0.08644833794948906,0.10978577285120267
10,6,0.08795523419963935,0.10404442024908672
10,9,0.08986103105139082,0.1213890818828816
10,12,0.08761173251968721,0.11062190725373526
10,15,0.08748348481469682,0.09924161416027935
20,3,0.10097367917574328,0.274057366378555
20,6,0.08898095488788758,0.10599641605642995
20,9,0.08840910830801453,0.10287817784661389
20,12,0.08912939120450326,0.1332224117451752
20,15,0.08871145434843619,0.10945417265942566
30,3,0.2364889996139933,0.2774534679791716
30,6,0.11168740953781095,0.27745346797917153
30,9,0.09199339886768171,0.2616590418275752
30,12,0.08850557084759263,0.11869868550920504
30,15,0.08752001201923702,0.11263162116229022
40,3,0.2670377101248462,0.27745346797917153
40,6,0.24149317948458926,0.27745346797917153
40,9,0.18156024143342847,0.27539354184104314
40,12,0.13002009916273974,0.27539354184104314
40,15,0.09170007918376863,0.2616590418275752
50,3,0.25994820198511465,0.27539354184104314
50,6,0.25913607440271424,0.27745346797917153
50,9,0.24568381865764036,0.27745346797917153
50,12,0.23704164339863237,0.27745346797917153
50,15,0.2299159874740488,0.27745346797917153
60,3,0.26521609128306683,0.27745346797917153
60,6,0.26213804389270046,0.27539354184104314
60,9,0.26568033120963686,0.27539354184104314
60,12,0.25929402557650244,0.27745346797917153
60,15,0.2627402110306821,0.27745346797917153

MIMIC 
---------------------------------
MI,samples,keep,avg,best
100,20,0.3352342914450725,0.5795070354415416
100,40,0.1997001843574256,0.27778036332766154
100,60,0.18928485131303796,0.25005685874842787
100,80,0.16360743353956003,0.21721232985915137
150,20,0.3652165678925305,0.6220875777921504
150,40,0.2297851124576005,0.30017115573805914
150,60,0.22763034204205007,0.329964929090216
150,80,0.20693905320411246,0.2880212430998506
200,20,0.37424982300428433,0.5333902937637128
200,40,0.2624775653833648,0.4061133762596812
200,60,0.2534228391963559,0.34969962298677026
200,80,0.23492990079271486,0.3437190189754667
250,20,0.41716768611105254,0.6306073954392611
250,40,0.2738091721005034,0.392194640098873
250,60,0.28010908167172555,0.36403032624315157
250,80,0.24848941919285386,0.3378931463452938
