@relation InstanceResultListener

@attribute Key_Dataset {krkopt}
@attribute Key_Run {1,2,3}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.meta.AdaBoostM1,weka.classifiers.lazy.IBk,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-U -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -U -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-L 0.3 -M 0.2 -N 200 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 300 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 400 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {-217733168393644444,-1178107808933117974,-3080186098777067172,-6585883636378691736,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1893\nSize of the tree: 3135\n','Number of leaves: 1928\nSize of the tree: 3205\n','Number of leaves: 1839\nSize of the tree: 3059\n','Number of leaves: 2391\nSize of the tree: 3901\n','Number of leaves: 2391\nSize of the tree: 3917\n','Number of leaves: 2353\nSize of the tree: 3885\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

krkopt,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170131.1809,8417,19639,10173,9466,0,51.79999,48.20001,0,0.461297,0.059483,0.203227,59.76491,91.106931,68818.512851,5290059.017875,-5221240.505024,3.504176,269.364989,-265.860813,35812.860035,1.823558,1020922.682259,0.53909,1055,0.067639,1196,0.932361,16486,0.46091,902,0.468681,0.53909,0.501426,0.443287,0.835288,0.407009,0.518,0.056156,0.943844,0.482,0.517312,0.518,0.516359,0.461455,0.817982,0.427556,0.469722,0.518,0.729,0.193,0.653098,0.167273,653.098,167.273,1611304,717735,1671605,74.621926,12.516195,'Number of leaves: 1893\nSize of the tree: 3135\n',3135,1893,1893
krkopt,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170131.1809,8416,19640,10286,9354,0,52.372709,47.627291,0,0.467495,0.058498,0.202089,58.776234,90.596106,68823.522408,5168547.660525,-5099724.138116,3.504253,263.164341,-259.660088,36633.542855,1.865252,1044368.225647,0.516607,1011,0.067692,1197,0.932308,16486,0.483393,946,0.45788,0.516607,0.485474,0.425661,0.83245,0.403275,0.523727,0.056013,0.943987,0.476273,0.522538,0.523727,0.521777,0.467323,0.82267,0.438968,0.499633,0.523727,0.478,0.088,0.43972,0.081852,439.72,81.852,1646444,717650,1671690,75.259674,12.436354,'Number of leaves: 1928\nSize of the tree: 3205\n',3205,1928,1928
krkopt,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170131.1809,8414,19642,10277,9365,0,52.321556,47.678444,0,0.467077,0.059018,0.201874,59.298622,90.499015,68835.834761,5080042.254755,-5011206.419994,3.504523,258.631619,-255.127096,36316.002012,1.848895,1035506.291788,0.504854,988,0.066101,1169,0.933899,16516,0.495146,969,0.458044,0.504854,0.480311,0.420301,0.819289,0.396183,0.523216,0.055656,0.944344,0.476784,0.522465,0.523216,0.52127,0.467078,0.823864,0.440692,0.473936,0.523216,0.514,0.063,0.251907,0.06139,251.907,61.39,1571488,717480,1671860,75.588026,12.896967,'Number of leaves: 1839\nSize of the tree: 3059\n',3059,1839,1839
krkopt,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170131.1809,8417,19639,10144,9495,0,51.652324,48.347676,0,0.460139,0.057619,0.205105,57.892221,91.948798,68818.512851,6179745.271915,-6110926.759064,3.504176,314.667003,-311.162827,36427.115581,1.854836,1038433.359128,0.54931,1075,0.072786,1287,0.927214,16395,0.45069,882,0.455123,0.54931,0.4978,0.438805,0.81559,0.382109,0.516523,0.055573,0.944427,0.483477,0.517499,0.516523,0.515967,0.461091,0.80661,0.420889,0.472042,0.516523,0.291,0.052,0.287865,0.052413,287.865,52.413,2007796,717735,1671605,70.752075,10.55779,'Number of leaves: 2391\nSize of the tree: 3901\n',3901,2391,2391
krkopt,2,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170131.1809,8416,19640,10302,9338,0,52.454175,47.545825,0,0.46917,0.056378,0.203046,56.645956,91.025267,68823.522408,5946775.233936,-5877951.711528,3.504253,302.788963,-299.28471,37342.853692,1.901367,1064589.63046,0.532959,1043,0.07182,1270,0.92818,16413,0.467041,914,0.45093,0.532959,0.488525,0.428504,0.817896,0.391925,0.524542,0.054867,0.945133,0.475458,0.525316,0.524542,0.524151,0.469743,0.813558,0.437444,0.506529,0.524542,0.281,0.049,0.265664,0.049537,265.664,49.537,2014996,717650,1671690,71.858452,10.444671,'Number of leaves: 2391\nSize of the tree: 3917\n',3917,2391,2391
krkopt,3,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170131.1809,8414,19642,10097,9545,0,51.405152,48.594848,0,0.457452,0.057427,0.205034,57.700115,91.915462,68835.834761,6103651.286215,-6034815.451455,3.504523,310.744898,-307.240375,36476.60505,1.857072,1040085.69059,0.507409,993,0.069324,1226,0.930676,16459,0.492591,964,0.447499,0.507409,0.475575,0.414492,0.80961,0.380872,0.514052,0.055793,0.944207,0.485948,0.515972,0.514052,0.514214,0.458874,0.808872,0.426809,0.490591,0.514052,0.249,0.052,0.247444,0.052191,247.444,52.191,1996644,717480,1671860,71.097648,10.469346,'Number of leaves: 2353\nSize of the tree: 3885\n',3885,2353,2353
krkopt,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170131.1809,8417,19639,10711,8928,0,54.539437,45.460563,0,0.491725,0.063128,0.189644,63.426955,85.017708,68818.512851,46771.110647,22047.402204,3.504176,2.381542,1.122634,34591.528174,1.761369,986105.987965,0.550843,1078,0.055141,975,0.944859,16707,0.449157,879,0.525085,0.550843,0.537656,0.485293,0.887553,0.506017,0.545394,0.053304,0.946696,0.454606,0.543824,0.545394,0.544226,0.491844,0.862544,0.524128,0.512992,0.545394,2.644,0.341,2.549642,0.339884,2549.642,339.884,15718808,717735,1671605,97.403126,70.532274,?,?,?,?
krkopt,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170131.1809,8416,19640,10895,8745,0,55.473523,44.526477,0,0.502203,0.061691,0.189001,61.984165,84.728829,68823.522408,46040.179136,22783.343273,3.504253,2.344205,1.160048,35362.164599,1.800518,1008123.108459,0.552376,1081,0.05214,922,0.94786,16761,0.447624,876,0.53969,0.552376,0.54596,0.495103,0.88987,0.506187,0.554735,0.052377,0.947623,0.445265,0.553365,0.554735,0.553668,0.502196,0.867207,0.53658,0.527463,0.554735,2.409,0.349,2.266258,0.348563,2266.258,348.563,15701644,717650,1671690,96.782077,67.013747,?,?,?,?
krkopt,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170131.1809,8414,19642,10871,8771,0,55.345688,44.654312,0,0.501018,0.061072,0.189335,61.362185,84.877637,68835.834761,46510.305989,22325.528772,3.504523,2.367901,1.136622,35598.96314,1.81239,1015060.807071,0.517629,1013,0.055301,978,0.944699,16707,0.482371,944,0.50879,0.517629,0.513171,0.458805,0.881568,0.478046,0.553457,0.051831,0.948169,0.446543,0.553371,0.553457,0.552809,0.501733,0.864105,0.53429,0.527937,0.553457,2.349,0.432,2.290417,0.423955,2290.417,423.955,15518444,717480,1671860,96.217289,64.990553,?,?,?,?
