@relation InstanceResultListener

@attribute Key_Dataset {letter}
@attribute Key_Run {1,2,3}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.meta.AdaBoostM1,weka.classifiers.lazy.IBk,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-U -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -U -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-L 0.3 -M 0.2 -N 200 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 300 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 400 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {-217733168393644444,-1178107808933117974,-3080186098777067172,-6585883636378691736,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 786\nSize of the tree: 1571\n','Number of leaves: 811\nSize of the tree: 1621\n','Number of leaves: 808\nSize of the tree: 1615\n','Number of leaves: 840\nSize of the tree: 1679\n','Number of leaves: 894\nSize of the tree: 1787\n','Number of leaves: 874\nSize of the tree: 1747\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

letter,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170202.002,9998,10002,8429,1573,0,84.273145,15.726855,0,0.836435,0.013597,0.103687,18.383981,53.918236,47007.578382,1295800.652904,-1248793.074523,4.699818,129.554154,-124.854337,39766.382153,3.975843,846127.788086,0.939241,371,0.003643,35,0.996357,9572,0.060759,24,0.913793,0.939241,0.926342,0.923365,0.973404,0.906355,0.842731,0.006277,0.993723,0.157269,0.844178,0.842731,0.843103,0.837016,0.934868,0.774265,0.842655,0.842731,0.558,0.08,0.546786,0.060546,546.786,60.546,1043675,1651931,1652591,87.082583,4.807885,'Number of leaves: 786\nSize of the tree: 1571\n',1571,786,786
letter,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170202.002,9997,10003,8449,1554,0,84.464661,15.535339,0,0.838426,0.013398,0.102517,18.114207,53.309847,47012.20337,1210189.559153,-1163177.355783,4.69981,120.982661,-116.282851,39911.069304,3.98991,849205.024587,0.916456,362,0.004788,46,0.995212,9562,0.083544,33,0.887255,0.916456,0.901619,0.897634,0.960083,0.846231,0.844647,0.006202,0.993798,0.155353,0.84639,0.844647,0.844935,0.839055,0.938298,0.781157,0.844387,0.844647,0.57,0.085,0.551626,0.067825,551.626,67.825,1076775,1651766,1652756,87.683695,4.921985,'Number of leaves: 811\nSize of the tree: 1621\n',1621,811,811
letter,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170202.002,10001,9999,8484,1515,0,84.848485,15.151515,0,0.842421,0.013126,0.101159,17.747187,52.60382,46993.395384,1207840.386789,-1160846.991406,4.69981,120.796118,-116.096309,40052.376647,4.005638,852211.502892,0.956853,377,0.003123,30,0.996877,9575,0.043147,17,0.92629,0.956853,0.941323,0.93901,0.987802,0.943041,0.848485,0.006038,0.993962,0.151515,0.850055,0.848485,0.848889,0.843051,0.93924,0.791274,0.848421,0.848485,0.384,0.041,0.381507,0.040354,381.507,40.354,1072803,1652426,1652096,87.778778,4.868179,'Number of leaves: 808\nSize of the tree: 1615\n',1615,808,808
letter,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170202.002,9998,10002,8427,1575,0,84.253149,15.746851,0,0.836227,0.013387,0.103779,18.099911,53.965832,47007.578382,1339534.409957,-1292526.831575,4.699818,133.926656,-129.226838,39820.543114,3.981258,847280.196012,0.939241,371,0.003643,35,0.996357,9572,0.060759,24,0.913793,0.939241,0.926342,0.923365,0.973404,0.906355,0.842531,0.006284,0.993716,0.157469,0.844064,0.842531,0.842951,0.836855,0.933673,0.777349,0.842457,0.842531,0.489,0.048,0.477019,0.046856,477.019,46.856,1115171,1651931,1652591,87.012597,4.694061,'Number of leaves: 840\nSize of the tree: 1679\n',1679,840,840
letter,2,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170202.002,9997,10003,8432,1571,0,84.294712,15.705288,0,0.836658,0.013124,0.102676,17.744099,53.392324,47012.20337,1268891.54333,-1221879.339961,4.69981,126.851099,-122.151289,39972.410984,3.996042,850510.217951,0.916456,362,0.004788,46,0.995212,9562,0.083544,33,0.887255,0.916456,0.901619,0.897634,0.960083,0.846231,0.842947,0.006269,0.993731,0.157053,0.845259,0.842947,0.84339,0.837513,0.936555,0.782982,0.842846,0.842947,0.466,0.049,0.43327,0.045756,433.27,45.756,1186667,1651766,1652756,87.473758,4.624382,'Number of leaves: 894\nSize of the tree: 1787\n',1787,894,894
letter,3,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170202.002,10001,9999,8480,1519,0,84.808481,15.191519,0,0.842005,0.012854,0.101019,17.378817,52.530987,46993.395384,1253672.354234,-1206678.958851,4.69981,125.379773,-120.679964,40130.543463,4.013456,853874.69159,0.956853,377,0.003123,30,0.996877,9575,0.043147,17,0.92629,0.956853,0.941323,0.93901,0.987802,0.943041,0.848085,0.006055,0.993945,0.151915,0.849475,0.848085,0.848409,0.842549,0.937856,0.789875,0.847951,0.848085,0.394,0.044,0.372383,0.042719,372.383,42.719,1160187,1652426,1652096,87.728773,4.728934,'Number of leaves: 874\nSize of the tree: 1747\n',1747,874,874
letter,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170202.002,9998,10002,9307,695,0,93.05139,6.94861,0,0.927731,0.005528,0.067269,7.473585,34.980585,47007.578382,6841.114548,40166.463834,4.699818,0.683975,4.015843,44046.573133,4.403777,937199.400082,0.987342,390,0.001353,13,0.998647,9594,0.012658,5,0.967742,0.987342,0.977444,0.97656,0.999762,0.996734,0.930514,0.002776,0.997224,0.069486,0.930918,0.930514,0.930535,0.927861,0.996856,0.971537,0.930277,0.930514,4.99,0.348,4.873802,0.345829,4873.802,345.829,10282299,1651931,1652591,95.45091,4.342208,?,?,?,?
letter,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170202.002,9997,10003,9359,644,0,93.561931,6.438069,0,0.933041,0.005057,0.064815,6.837434,33.704182,47012.20337,6271.625564,40740.577806,4.69981,0.626974,4.072836,44285.264621,4.427198,942276.66378,0.977215,386,0.000729,7,0.999271,9601,0.022785,9,0.982188,0.977215,0.979695,0.978866,0.999503,0.993974,0.935619,0.002572,0.997428,0.064381,0.936023,0.935619,0.935603,0.933155,0.997224,0.974848,0.935308,0.935619,5.471,0.328,5.181747,0.327212,5181.747,327.212,10520619,1651766,1652756,95.771269,4.264874,?,?,?,?
letter,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170202.002,10001,9999,9360,639,0,93.609361,6.390639,0,0.933535,0.005099,0.064275,6.893471,33.423429,46993.395384,5961.025162,41032.370221,4.69981,0.596162,4.103647,44301.819111,4.430625,942628.702877,0.982234,387,0.000416,4,0.999584,9601,0.017766,7,0.98977,0.982234,0.985987,0.985423,0.99848,0.992863,0.936094,0.002549,0.997451,0.063906,0.936319,0.936094,0.936074,0.933598,0.997467,0.97558,0.935804,0.936094,4.645,0.334,4.57755,0.330931,4577.55,330.931,10349823,1652426,1652096,95.859586,4.309662,?,?,?,?
