timestep, accuracy, iterations
307, 0.892, 10000
308, 0.896, 10000
309, 0.875, 10000
310, 0.89, 10000
311, 0.894, 10000
312, 0.903, 10000
313, 0.885, 10000
314, 0.883, 10000
315, 0.891, 10000
316, 0.891, 10000
317, 0.888, 10000
318, 0.881, 10000
319, 0.883, 10000
320, 0.881, 10000
321, 0.884, 10000
322, 0.881, 10000
323, 0.868, 10000
324, 0.896, 10000
325, 0.905, 10000
326, 0.893, 10000
327, 0.896, 10000
328, 0.902, 10000
329, 0.886, 10000
330, 0.9, 10000
331, 0.873, 10000
332, 0.888, 10000
333, 0.867, 10000
334, 0.884, 10000
335, 0.891, 10000
336, 0.898, 10000
337, 0.884, 10000
338, 0.877, 10000
339, 0.889, 10000
340, 0.893, 10000
341, 0.888, 10000
342, 0.866, 10000
343, 0.886, 10000
344, 0.879, 10000
345, 0.886, 10000
346, 0.887, 10000
347, 0.886, 10000
348, 0.891, 10000
349, 0.876, 10000
350, 0.911, 10000
351, 0.888, 10000
352, 0.874, 10000
353, 0.892, 10000
354, 0.88, 10000
355, 0.873, 10000
356, 0.877, 10000
357, 0.878, 10000
358, 0.877, 10000
359, 0.896, 10000
360, 0.874, 10000
361, 0.891, 10000
362, 0.893, 10000
363, 0.905, 10000
364, 0.88, 10000
365, 0.883, 10000
366, 0.893, 10000
367, 0.881, 10000
368, 0.873, 10000
369, 0.891, 10000
370, 0.913, 10000
371, 0.9, 10000
372, 0.888, 10000
373, 0.876, 10000
374, 0.883, 10000
375, 0.883, 10000
376, 0.881, 10000
377, 0.865, 10000
378, 0.896, 10000
379, 0.882, 10000
380, 0.876, 10000
381, 0.889, 10000
382, 0.892, 10000
383, 0.884, 10000
384, 0.902, 10000
385, 0.898, 10000
386, 0.864, 10000
387, 0.898, 10000
388, 0.887, 10000
389, 0.878, 10000
390, 0.899, 10000
391, 0.89, 10000
392, 0.897, 10000
393, 0.895, 10000
394, 0.894, 10000
395, 0.882, 10000
396, 0.867, 10000
397, 0.884, 10000
398, 0.867, 10000
399, 0.882, 10000
400, 0.893, 100000
401, 0.89, 100000
402, 0.895, 100000
403, 0.903, 100000
404, 0.877, 100000
405, 0.893, 100000
406, 0.88, 100000
407, 0.892, 100000
408, 0.888, 100000
409, 0.892, 100000
410, 0.886, 100000
411, 0.885, 100000
412, 0.894, 100000
413, 0.899, 100000
414, 0.91, 100000
415, 0.876, 100000
416, 0.885, 100000
417, 0.898, 100000
418, 0.877, 100000
419, 0.882, 100000
420, 0.889, 100000
421, 0.896, 100000
422, 0.878, 100000
423, 0.89, 100000
424, 0.884, 100000
425, 0.9, 100000
426, 0.884, 100000
427, 0.893, 100000
428, 0.87, 100000
429, 0.88, 100000
430, 0.884, 100000
431, 0.885, 100000
432, 0.893, 100000
433, 0.897, 100000
434, 0.874, 100000
435, 0.888, 100000
436, 0.895, 100000
437, 0.854, 100000
438, 0.895, 100000
439, 0.897, 100000
440, 0.9, 100000
441, 0.893, 100000
442, 0.896, 100000
443, 0.883, 100000
444, 0.889, 100000
445, 0.887, 100000
446, 0.866, 100000
447, 0.885, 100000
448, 0.894, 100000
449, 0.874, 100000
450, 0.87, 100000
451, 0.895, 100000
452, 0.877, 100000
453, 0.864, 100000
454, 0.855, 100000
455, 0.886, 100000
456, 0.892, 100000
457, 0.892, 100000
458, 0.88, 100000
459, 0.884, 100000
460, 0.894, 100000
461, 0.869, 100000
